# Red Alert MIX Filename Database
# Sources: OpenRA, ccmixar, RA95.EXE strings
# Total entries: 4839
# Format: HASH<tab>FILENAME
#
0xcc57bb3c	ACTOR-V2RL.DES
0x185baf19	ACTOR-WEAF.DES
0x185bc319	ACTOR-WEAP.DES
0x0a8f2c3b	ACTOR-YAK.DES
0x95e2981a	ACTOR-ZOMBIE.DES
0xd7f6e4cb	AFALLEN1.AUD
0x81abe3fb	AFFIRM1.R00
0x81ace3fb	AFFIRM1.R01
0x81ade3fb	AFFIRM1.R02
0x81aee3fb	AFFIRM1.R03
0x81abe3ff	AFFIRM1.V00
0x81ace3ff	AFFIRM1.V01
0x81ade3ff	AFFIRM1.V02
0x81aee3ff	AFFIRM1.V03
0xd8e0dfb0	AFLD.SHP
0xf512e3c5	AFLDICNH.DES
0xef12f3c5	AFLDICNH.TEM
0xf016f6c5	AFLDICNH.WIN
0xfe17f2c5	AFLDICON.SHP
0xec11f4c5	AFLDIDLE.SHP
0xec0feecd	AFLDMAKE.SHP
0xd3a5dcde	AFRICA.WSA
0x2347e4cd	AFTRMATH.INI
0x1b4af1cd	AFTRMATH.VQA
0x2a4af1cd	AFTRMATH.VQP
0xa63bed13	AFTR_HI.PCX
0xa6430206	AFTR_LO.CPS
0xecf2e1b0	AGUN.SHP
0x263bf6c5	AGUNICON.SHP
0x1433f2cd	AGUNMAKE.SHP
0xe33305c5	AIRFIELD.VQA
0xf23305c5	AIRFIELD.VQP
0xf050eebd	AIRREDY1.AUD
0x28310adb	AIRSTRIK.AUD
0xaa211b03	AIRSTRK.VQA
0xaa301b03	AIRSTRK.VQP
0xebd189c8	AKIRA.VQA
0xebd189d7	AKIRA.VQP
0xfbeaf8cf	ALAUNCH1.AUD
0x92fb2cdb	ALI-TRAN.WSA
0xf1ff07b5	ALIBACKH.PCX
0x390014b5	ALIPAPER.CPS
0x3df321b5	ALIPAPER.PCX
0x5cdee6cb	ALL.INF
0xf21bd01b	ALLIEDMCV.BMP
0x9139d113	ALLIEDTANKSRUSSIA.BMP
0xbf8e2fd8	ALLIES.MIX
0x07dd8da7	ALLY1.VQA
0x07dd8db6	ALLY1.VQP
0x118dd2b7	ALLY10.VQA
0x118de1b7	ALLY10.VQP
0xc1f6e2bd	ALLY10B.VQA
0xc205e2bd	ALLY10B.VQP
0x118dd4b7	ALLY11.VQA
0x118de3b7	ALLY11.VQP
0x118dd6b7	ALLY12.VQA
0x118de5b7	ALLY12.VQP
0x118ddab7	ALLY14.VQA
0x118de9b7	ALLY14.VQP
0x07dd8da9	ALLY2.VQA
0x07dd8db8	ALLY2.VQP
0x07dd8dad	ALLY4.VQA
0x07dd8dbc	ALLY4.VQP
0x07dd8daf	ALLY5.VQA
0x07dd8dbe	ALLY5.VQP
0x07dd8db1	ALLY6.VQA
0x07dd8dc0	ALLY6.VQP
0x07dd8db5	ALLY8.VQA
0x07dd8dc4	ALLY8.VQP
0x07dd8db7	ALLY9.VQA
0x07dd8dc6	ALLY9.VQP
0xc1fb1ee5	ALLYEND.VQA
0xc20a1ee5	ALLYEND.VQP
0x332725cd	ALLYMORF.VQA
0x422725cd	ALLYMORF.VQP
0x76006c2c	ALLYREPAIR.SHP
0x225719a2	ALY1-LO.CPS
0xbaf5e8b0	ALY1.PCX
0xf02e26b7	AMMOBOX1.SHP
0xf22e26b7	AMMOBOX2.SHP
0xf42e26b7	AMMOBOX3.SHP
0xd8d8f093	ANIM0001.WSA
0xdad8f093	ANIM0002.WSA
0xe2d8f093	ANIM0006.WSA
0xe381dcb8	ANIM01.WSA
0xb2f0efb0	ANT1.SHP
0xb4f0efb0	ANT2.SHP
0xb6f0efb0	ANT3.SHP
0x662036d8	ANTBITE.AUD
0x93ae07ec	ANTDIE.AUD
0xb7ae13df	ANTDIE.SHP
0xc1ae02f2	ANTEND.VQA
0xc1ae11f2	ANTEND.VQP
0x823e1fde	ANTICON.SHP
0x054737cf	ANTINTRO.VQA
0x144737cf	ANTINTRO.VQP
0x5cd6f3c3	AOI.AUD
0x5ce4dfd8	AOI.VAR
0x5cd6e8d5	APC.SHP
